epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16572.9,0.92237,0.67237,1.44157,0.93642,0.83701,0.93438,0.74928,0.79474,0.48039,1.72052,0.005842,0.005842,0.005842
44,16985.4,0.92371,0.67871,1.43798,0.93561,0.83586,0.93448,0.74955,0.79372,0.48087,1.63246,0.005743,0.005743,0.005743
45,17326.6,0.91743,0.67073,1.43556,0.93984,0.83478,0.93497,0.75181,0.78695,0.47685,1.7064,0.005644,0.005644,0.005644
46,17714.5,0.9114,0.66791,1.41942,0.94316,0.83237,0.93546,0.75279,0.78535,0.47567,1.69184,0.005545,0.005545,0.005545
47,18040.3,0.9076,0.6595,1.42157,0.93852,0.83611,0.93587,0.75248,0.78687,0.47588,1.62416,0.005446,0.005446,0.005446
48,18448.4,0.9119,0.66774,1.42587,0.94165,0.83463,0.93614,0.75289,0.78757,0.47629,1.56073,0.005347,0.005347,0.005347
49,18794.7,0.90978,0.66068,1.42209,0.94244,0.83451,0.93663,0.75441,0.78337,0.4737,1.57761,0.005248,0.005248,0.005248
50,19157,0.89957,0.65498,1.4175,0.93792,0.83765,0.93716,0.75523,0.78464,0.47403,1.5399,0.005149,0.005149,0.005149
51,19488,0.89713,0.65313,1.41059,0.94052,0.8366,0.93758,0.75666,0.78018,0.47132,1.56431,0.00505,0.00505,0.00505
52,19837.2,0.89204,0.64629,1.40758,0.93646,0.83963,0.93807,0.75805,0.77746,0.46958,1.56964,0.004951,0.004951,0.004951
53,20196.8,0.88892,0.64579,1.40774,0.93818,0.83981,0.93841,0.75931,0.77275,0.4669,1.6121,0.004852,0.004852,0.004852
54,20606.5,0.88773,0.64694,1.40399,0.93911,0.8396,0.93866,0.75982,0.77268,0.46623,1.59191,0.004753,0.004753,0.004753
55,21031.5,0.88447,0.64283,1.39737,0.93755,0.84295,0.93894,0.76021,0.77222,0.46571,1.57293,0.004654,0.004654,0.004654
56,21409.6,0.88288,0.64268,1.39883,0.93942,0.84198,0.93917,0.76093,0.77102,0.46555,1.54971,0.004555,0.004555,0.004555
57,21822.1,0.879,0.63987,1.39316,0.94133,0.84086,0.93928,0.76209,0.76683,0.46368,1.57511,0.004456,0.004456,0.004456
58,22244.5,0.87841,0.64103,1.3986,0.94292,0.84043,0.93951,0.76247,0.76669,0.46345,1.5523,0.004357,0.004357,0.004357
59,22642.5,0.87614,0.63705,1.39572,0.94453,0.83947,0.93962,0.7629,0.7662,0.46318,1.53263,0.004258,0.004258,0.004258
60,23063,0.87008,0.63187,1.38923,0.94219,0.84146,0.93972,0.76307,0.76504,0.46258,1.52424,0.004159,0.004159,0.004159
61,23441.2,0.86419,0.62808,1.38791,0.94351,0.84137,0.93978,0.76343,0.76492,0.46237,1.51024,0.00406,0.00406,0.00406
62,23805.7,0.8648,0.63198,1.38273,0.94423,0.84135,0.93994,0.76401,0.76332,0.46151,1.50742,0.003961,0.003961,0.003961
63,24150.6,0.86351,0.62543,1.38488,0.94035,0.84407,0.94007,0.7645,0.76183,0.46072,1.50706,0.003862,0.003862,0.003862
64,24522.9,0.85993,0.62323,1.37472,0.93999,0.84437,0.94025,0.76502,0.76038,0.45974,1.50913,0.003763,0.003763,0.003763
65,24903.1,0.85483,0.6212,1.37463,0.94051,0.84492,0.94047,0.76559,0.75941,0.45904,1.50601,0.003664,0.003664,0.003664
66,25289.5,0.85309,0.61928,1.375,0.9433,0.84385,0.94069,0.76608,0.7586,0.45846,1.50364,0.003565,0.003565,0.003565
67,25684.9,0.85348,0.62089,1.37168,0.94236,0.84479,0.94085,0.76645,0.75776,0.4578,1.50375,0.003466,0.003466,0.003466
